episode: 1/4000, score: 25, e: 1.0
episode: 2/4000, score: 12, e: 0.96
episode: 3/4000, score: 10, e: 0.87
episode: 4/4000, score: 15, e: 0.75
episode: 5/4000, score: 23, e: 0.59
episode: 6/4000, score: 8, e: 0.55
episode: 7/4000, score: 9, e: 0.5
episode: 8/4000, score: 9, e: 0.46
episode: 9/4000, score: 7, e: 0.43
episode: 10/4000, score: 9, e: 0.39
episode: 11/4000, score: 10, e: 0.35
episode: 12/4000, score: 7, e: 0.33
episode: 13/4000, score: 8, e: 0.3
episode: 14/4000, score: 11, e: 0.27
episode: 15/4000, score: 8, e: 0.25
episode: 16/4000, score: 12, e: 0.22
episode: 17/4000, score: 14, e: 0.19
episode: 18/4000, score: 20, e: 0.16
episode: 19/4000, score: 7, e: 0.15
episode: 20/4000, score: 29, e: 0.11
episode: 21/4000, score: 18, e: 0.091
episode: 22/4000, score: 53, e: 0.054
episode: 23/4000, score: 25, e: 0.042
episode: 24/4000, score: 106, e: 0.014
episode: 25/4000, score: 104, e: 0.0099
episode: 26/4000, score: 86, e: 0.0099
episode: 27/4000, score: 146, e: 0.0099
episode: 28/4000, score: 93, e: 0.0099
episode: 29/4000, score: 101, e: 0.0099
episode: 30/4000, score: 64, e: 0.0099
episode: 31/4000, score: 56, e: 0.0099
episode: 32/4000, score: 82, e: 0.0099
episode: 33/4000, score: 45, e: 0.0099
episode: 34/4000, score: 37, e: 0.0099
episode: 35/4000, score: 22, e: 0.0099
episode: 36/4000, score: 56, e: 0.0099
episode: 37/4000, score: 86, e: 0.0099
episode: 38/4000, score: 129, e: 0.0099
episode: 39/4000, score: 57, e: 0.0099
episode: 40/4000, score: 153, e: 0.0099
episode: 41/4000, score: 311, e: 0.0099
episode: 42/4000, score: 27, e: 0.0099
episode: 43/4000, score: 47, e: 0.0099
episode: 44/4000, score: 43, e: 0.0099
episode: 45/4000, score: 10, e: 0.0099
episode: 46/4000, score: 11, e: 0.0099
episode: 47/4000, score: 8, e: 0.0099
episode: 48/4000, score: 9, e: 0.0099
episode: 49/4000, score: 9, e: 0.0099
episode: 50/4000, score: 9, e: 0.0099
episode: 51/4000, score: 9, e: 0.0099
episode: 52/4000, score: 11, e: 0.0099
episode: 53/4000, score: 8, e: 0.0099
episode: 54/4000, score: 8, e: 0.0099
episode: 55/4000, score: 10, e: 0.0099
episode: 56/4000, score: 15, e: 0.0099
episode: 57/4000, score: 89, e: 0.0099
episode: 58/4000, score: 107, e: 0.0099
episode: 59/4000, score: 152, e: 0.0099
episode: 60/4000, score: 154, e: 0.0099
episode: 61/4000, score: 499, e: 0.0099
episode: 62/4000, score: 334, e: 0.0099
episode: 63/4000, score: 220, e: 0.0099
episode: 64/4000, score: 138, e: 0.0099
episode: 65/4000, score: 121, e: 0.0099
episode: 66/4000, score: 112, e: 0.0099
episode: 67/4000, score: 115, e: 0.0099
episode: 68/4000, score: 103, e: 0.0099
episode: 69/4000, score: 105, e: 0.0099
episode: 70/4000, score: 112, e: 0.0099
episode: 71/4000, score: 119, e: 0.0099
episode: 72/4000, score: 106, e: 0.0099
episode: 73/4000, score: 115, e: 0.0099
episode: 74/4000, score: 119, e: 0.0099
episode: 75/4000, score: 112, e: 0.0099
episode: 76/4000, score: 149, e: 0.0099
episode: 77/4000, score: 129, e: 0.0099
episode: 78/4000, score: 130, e: 0.0099
episode: 79/4000, score: 151, e: 0.0099
episode: 80/4000, score: 135, e: 0.0099
episode: 81/4000, score: 128, e: 0.0099
episode: 82/4000, score: 118, e: 0.0099
episode: 83/4000, score: 123, e: 0.0099
episode: 84/4000, score: 112, e: 0.0099
episode: 85/4000, score: 172, e: 0.0099
episode: 86/4000, score: 112, e: 0.0099
episode: 87/4000, score: 28, e: 0.0099
episode: 88/4000, score: 114, e: 0.0099
episode: 89/4000, score: 14, e: 0.0099
episode: 90/4000, score: 123, e: 0.0099
